Author,Resort,Count,Role
Hendrik Feindt,feuilleton,1,Unknown
Henning Hölder,finanzen,1,Unknown
Herbert Schmidt,mobilitaet,2,Wissenschaft
Herbert Wulf,meinung,3,Unknown
Herbie Schmidt,mobilitaet,52,Wissenschaft
Herfried Münkler,meinung,2,Unknown
Heribert Dieter,meinung,3,Unknown
Hermann Feldmeier,wissenschaft,1,Unknown
Hoffer Ramallah,international,1,Unknown
Holger Heimann,feuilleton,1,Unknown
Homayoun Alizadeh,meinung,1,Unknown
Horst-Michael Prasser,meinung,1,Unknown
Hubert Wolf,feuilleton,1,Unknown
Hubertus Adam,feuilleton,4,Unknown
Hubertus Knabe,feuilleton,1,Unknown
Hussein Aboubakr Mansour,meinung,1,Unknown
Ian Kershaw,nzz-am-sonntag,1,Unknown
Ida Götz,international,7,Visuals & Tech
Igor Toker,meinung,1,Unknown
Ilija Trojanow,feuilleton,1,Unknown
Ilma Rakusa,feuilleton,9,Unknown
Ines Häfliger,sport,1,Unknown
Ines Rütten,sport,1,Unknown
Inga Rogg,international,2,Unknown
Ingo Petz,feuilleton,1,Unknown
Ingrid Meissl Årebo,wirtschaft,4,Unknown
Ingun Alette Maehlum,international,1,Unknown
Inna Hartwich,international,9,Nachrichten
Interview Stephan Ramming,sport,1,Unknown
Ion Karagounis,meinung,1,Unknown
Irene Binal,feuilleton,1,Unknown
Irina Rastorgujewa,feuilleton,9,Unknown
Irène Herrmann,pro,1,Unknown
Isabel Heusser,zuerich,102,Zürich
Isabel Schuler,meinung,1,Unknown
Isabella Hager,fotografie,6,Bildredaktion
Isabelle Jacobi,international,56,International
Isabelle Noth,feuilleton,1,Unknown
Isabelle Pfister,Unspecified,2,Unknown
Isabelle Wachter,international,18,Wirtschaft
Ivan Kashinsky,technologie,1,Unknown
Ivo Mijnssen,international,29,"Chefredaktion, Tagesleitung"
Iván Medina,international,1,Unknown
Jack Califano,international,1,Unknown
Jacqueline Goebel,international,1,Unknown
Jacqueline Lipp,panorama,1,"Tagesleitung, Nachrichten"
Jakob Knaus,feuilleton,1,Unknown
Jakob Kullik,meinung,2,Unknown
Jan Hudec,zuerich,57,Zürich
Jan Kapusnak,meinung,2,Unknown
Jan Ludwig,Unspecified,12,Visuals & Tech
Jan-Erik Kruse,mobilitaet,7,Unknown
Jan-Heiner Tück,feuilleton,1,Unknown
Jana Avanzini,folio,1,Unknown
Jana Janika Bach,feuilleton,3,Unknown
Jana Kehl,international,8,Unknown
Jana Leu,schweiz,1,Unknown
Jana Schibli,wirtschaft,2,Magazin / Bellevue / Z
Janina Bauer,nzz-am-sonntag,2,Unknown
Janina Gehrig,schweiz,3,Unknown
Janique Weder,wirtschaft,53,Wirtschaft
Jannik Belser,wirtschaft,65,Wirtschaft
Janos I. Szirtes,meinung,4,Unknown
Jaschar Dugalic,international,18,Unknown
Jasmin Hegetschweiler,international,4,Visuals & Tech
Jasmine Jacot-Descombes,Unspecified,6,Video / Social Media
Jasmine Rueegg,Unspecified,1,Visuals & Tech
Jasmine Rüegg,Unspecified,1,Visuals & Tech
Jasper Walter Bastian,wirtschaft,1,Unknown
Jean-Daniel Gerber,meinung,1,Unknown
Jean-Martin Büttner,feuilleton,16,Unknown
Jean-Philippe Kohl,meinung,1,Unknown
Jennifer Rieger,Unspecified,6,Unknown
Jenny Rieger,Unspecified,17,Podcast
Jens Balkenborg,feuilleton,6,Unknown
Jens Gutzmer,meinung,2,Unknown
Jeremy Black,feuilleton,1,Unknown
Jeroen van Rooijen,feuilleton,1,Unknown
Jessica Eberhart,Unspecified,12,Visuals & Tech
Joachim Krause,meinung,1,Unknown
Joana Kelén,international,3,Visuals & Tech
Jochen Hellbeck,feuilleton,1,Unknown
Jochen Müssig,reisen,4,Unknown
Jodi Hilton,international,1,Unknown
Johanes E. S. Wato,meinung,1,Unknown
Johann Schneider-Ammann,meinung,1,Unknown
Johanna Bayer,wissenschaft,1,Unknown
Johanna-Maria Fritz,fotografie,1,Unknown
Johannes Bockenheimer,international,1,Redaktion Deutschland
Johannes Boie,der-andere-blick,8,Unknown
Johannes C. Bockenheimer,international,77,Redaktion Deutschland
Johannes C. Giwerzew,international,1,Unknown
Johannes Schweikle,reisen,2,Unknown
Johannes Thimm,meinung,1,Unknown
John Eibner,meinung,1,Unknown
Jonas Hermann,international,28,Redaktion Deutschland
Jonas Oesch,Unspecified,7,Visuals & Tech
Jonas Opperskalski,international,3,Unknown
Jonas Roth,international,79,International
Jonas Scheck,schweiz,1,Unknown
Jordi Ruiz Cirera,schweiz,1,Unknown
Josef Ackermann,feuilleton,1,Unknown
Josef Aschbacher,meinung,1,Unknown
Josef Joffe,feuilleton,7,Unknown
Jost Auf der Maur,reisen,1,Unknown
Joël Hunn,zuerich,1,Unknown
Joëlle Venetz,sport,1,Unknown
Juan Wu,meinung,2,Unknown
Juanjo Gasull,international,1,Unknown
Jude Lartey,gesellschaft,1,Unknown
Judith Blage,meinung,4,Wissenschaft
Judith Kuckart,feuilleton,1,Unknown
Judith Leister,feuilleton,10,Unknown
Judith Vitale,meinung,1,Unknown
Julia Ishac,folio,1,Unknown
Julia Kohli,feuilleton,4,Unknown
Julia Monn,international,31,Visuals & Tech
Julia Weber,feuilleton,1,Unknown
Julian Dierkes,meinung,1,Unknown
Julian Heissler,international,8,Unknown
Julian Theilen,feuilleton,1,Unknown
Juliane Schreiber,meinung,1,Unknown
Juliette Irmer,wissenschaft,1,Unknown
Juliette Pavy,gesellschaft,1,Unknown
Junhua Zhang,meinung,4,Unknown
Jérôme Hayoz,report-und-debatte,1,Unknown
Jörg Himmelreich,feuilleton,4,Unknown
Jörg Peltzer,feuilleton,1,Unknown
Jörg Plath,feuilleton,7,Unknown
Jörg Restorff,feuilleton,4,Unknown
Jörg Scheller,feuilleton,2,Unknown
Jörg Walch,Unspecified,2,Format
Jürg Kürsener,pro,1,Unknown
Jürg Meier,wirtschaft,48,Wirtschaft
Jürg Müller,wirtschaft,7,Unknown
Jürg Staub,meinung,1,Unknown
Jürg Zbinden,feuilleton,3,Unknown
Jürg Zulliger,wirtschaft,25,Wirtschaft
Jürgen Kalwa,sport,8,Unknown
Jürgen Müller,feuilleton,1,Unknown
Jürgen Schelling,mobilitaet,16,Unknown
Jürgen Zöllter,mobilitaet,5,Unknown
K. M. Asad,international,1,Unknown
Kacem El Ghazzali,feuilleton,8,Unknown
Kalina Oroschakoff,wissenschaft,34,Wissenschaft
Karin A. Wenger,international,5,International
Karin Hofer,zuerich,7,Fotografen
Karin Huser,feuilleton,1,Unknown
Karin Wenger,wirtschaft,1,International
Karl Schlögel,feuilleton,1,Unknown
Karl-Heinz Kamp,meinung,1,Unknown
Karl-Markus Gauss,feuilleton,1,Unknown
Karolina Kaltschnee,international,1,Unknown
Kashmir Hill,nzz-am-sonntag,1,Unknown
Kasia Kim-Zacharko,international,1,Unknown
Kaspar Manz,Unspecified,3,Visuals & Tech
Kaspar Villiger,feuilleton,2,Unknown
Katajun Amirpur,feuilleton,4,Unknown
