Author,Resort,Count,Role,cluster
Christian Wolf,wissenschaft,1,Unknown,11
Christiane Hanna Henkel,meinung,1,Wissenschaft,1
Christin Severin,wirtschaft,21,Wirtschaft,3
Christina Neuhaus,schweiz,101,Schweiz,7
Christine Brinck,feuilleton,8,Unknown,2
Christine Le Pape Racin,meinung,1,Unknown,7
Christine Longin,international,11,Unknown,9
Christine Steffen,sport,34,Sport,6
Christof Krapf,sport,70,Sport,6
Christoph A. Schaltegger,meinung,1,Unknown,1
Christoph Brumme,meinung,1,Unknown,2
Christoph Egger,feuilleton,1,Unknown,0
Christoph Eisenring,meinung,1,Unknown,7
Christoph Forsthoff,feuilleton,3,Unknown,0
Christoph Held,feuilleton,1,Unknown,11
Christoph Schütz,nzz-am-sonntag,1,Unknown,3
Christoph Zürcher,nzz-am-sonntag,2,Mitglieder Chefredaktion,1
Cian Jochem,wissenschaft,5,Visuals & Tech,2
Clara Ott,wissenschaft,3,Unknown,11
Clarita Kunz Matossi,meinung,1,Unknown,7
Claude Meier,meinung,1,Unknown,7
Claudia Franziska Brühwiler,meinung,2,Unknown,2
Claudia Füssler,wissenschaft,1,Unknown,11
Claudia Füßler,wissenschaft,1,Unknown,12
Claudia Mäder,feuilleton,3,Redaktion,1
Claudia Rey,zuerich,39,Zürich,12
Claudia Schwartz,feuilleton,14,Meinung und Debatte,1
Claus Peter Simon,wissenschaft,4,Unknown,11
Claus Schweitzer,reisen,4,Unknown,9
Clemens Klünemann,feuilleton,5,Unknown,9
Colm Tóibín,feuilleton,1,Unknown,0
Como Pieter Slembrouck,sport,1,Unknown,6
Conor Feehly,wissenschaft,1,Unknown,9
Cord Aschenbrenner,feuilleton,1,Unknown,2
Corina Gall,schweiz,5,Nachrichten,7
Corina Gredig,meinung,1,Unknown,7
Corina Kolbe,feuilleton,4,Unknown,0
Cyrus Schayegh,meinung,1,Unknown,2
Dagmar Fenner,meinung,1,Unknown,3
Dagmar Rösler,meinung,1,Unknown,12
Dagmar Schediwy,wissenschaft,1,Unknown,11
Damiano Canapa,meinung,1,Unknown,3
Damita Pressl,pro,6,Unknown,3
Dan Cermak,gesellschaft,1,Unknown,9
Dana Mattioli,nzz-am-sonntag,1,Unknown,9
Daniel Böhm,international,90,Unknown,2
Daniel Di Falco,wissenschaft,1,Redaktion,3
Daniel Eckmann,meinung,2,Unknown,13
Daniel Fasnacht,meinung,1,Unknown,0
Daniel Foppa,nzz-am-sonntag,4,"Stellvertreter, Mitglieder Chefredaktion, Schweiz und Debatte",7
Daniel Friedli,schweiz,17,Schweiz und Debatte,7
Daniel Fritzsche,zuerich,43,Zürich,12
Daniel Germann,sport,111,Sport,6
Daniel Gerny,schweiz,87,Schweiz,7
Daniel Haas,feuilleton,19,Unknown,2
Daniel Heller,meinung,1,Unknown,7
Daniel Imwinkelried,wirtschaft,52,Unknown,3
Daniel Janett,meinung,1,Unknown,2
Daniel Koch,feuilleton,2,Unknown,0
Daniel Lorenz,meinung,1,Unknown,3
Daniel Rickenbacher,international,6,Unknown,2
Daniel Röttele,wissenschaft,3,Unknown,11
