Author,Resort,Count,Role,cluster
Sigbert Gebert,meinung,3,Unknown,11
Sigrid Harms,international,2,Unknown,0
Sigrid März,wissenschaft,2,Unknown,3
Silas Zindel,zuerich,2,Unknown,7
Silke Mertins,international,8,Unknown,1
Silke Wichert,feuilleton,5,Unknown,2
Simon Bundi,schweiz,1,Unknown,10
Simon Hehli,schweiz,70,Schweiz,7
Simon Huwiler,Unspecified,9,Visuals & Tech,2
Simon Knolmayer,Unspecified,5,Video / Social Media,2
Simon M. Ingold,feuilleton,1,Unknown,3
Simon Marti,schweiz,36,Schweiz und Debatte,7
Simon Meyer,Unspecified,1,Unknown,12
Simon Off,Unspecified,18,Visuals & Tech,1
Simon Schaffer,Unspecified,35,Podcast,2
Simon Tanner,international,4,Visuals & Tech,12
Simon Tottoli,mobilitaet,4,Unknown,5
Simona Supino,international,1,Unknown,2
Simone Imhof,fotografie,1,Bildredaktion,12
Simone Liedtke,sport,2,Unknown,6
Simone Lo Bartolo,panorama,11,Unknown,9
Skanda Gautam,international,1,Unknown,5
Sonja Blaschke,international,3,Unknown,9
Sophie Boyer,nzz-am-sonntag-magazin,1,Unknown,5
Stefan Ender,feuilleton,3,Unknown,0
Stefan Günther,fotografie,5,Bildredaktion,2
Stefan Hotz,zuerich,13,Unknown,12
Stefan Klein,folio,1,Unknown,9
Stefan Meister,meinung,1,Unknown,2
Stefan Müller-Doohm,feuilleton,2,Unknown,2
Stefan Oesterhelt,meinung,2,Unknown,13
Stefan Osterhaus,sport,89,Sport,6
Stefan Ramming,sport,1,Sport,6
Stefan Rebenich,feuilleton,1,Unknown,9
Stefan Reis Schweizer,international,2,Produktion,9
Stefan Scholl,international,4,Unknown,2
Stefan Zweifel,feuilleton,1,Unknown,0
Stefanie Pauli,schweiz,12,Schweiz und Debatte,7
Stefanie Unbehauen,gesellschaft,2,Unknown,9
Stefanie Walter,meinung,1,Unknown,3
Steffen Kopetzky,feuilleton,1,Unknown,9
Steffen Meister,meinung,1,Unknown,7
Stephan Bierling,meinung,4,Unknown,2
Stephan Glättli,schweiz,1,Unknown,3
Stephan Klemm,sport,2,Unknown,6
Stephan Ramming,sport,56,Sport,6
Stephanie Geiger,sport,20,Unknown,6
Stephanie Lahrtz,wissenschaft,45,Wissenschaft,11
Steve Przybilla,panorama,1,Unknown,9
Steven Levitsky,nzz-am-sonntag,1,Unknown,9
Steven Pinker,feuilleton,1,Unknown,0
Stéphanie Penher,meinung,1,Unknown,12
Susann Kreutzmann,international,23,Redaktion Deutschland,1
Susanna Koeberle,feuilleton,1,Unknown,0
Susanna Petrin,feuilleton,6,Unknown,0
Susanne Donner,wissenschaft,1,Unknown,3
Susanne Gaschke,international,19,Unknown,1
Susanne Goldschmid,schweiz,1,Unknown,7
Susanne Gottlieb,feuilleton,1,Unknown,0
Suzanne Thoma,meinung,1,Unknown,7
Sven Haist,sport,66,Unknown,6
Sven Preger,Unspecified,9,Unknown,1
Sven Titz,wissenschaft,40,Wissenschaft,3
Svitlana Prokopchuk,schweiz,1,Unknown,2
Sweimeh Daniel Böhm,international,1,Unknown,2
Sylke Gruhnwald,feuilleton,1,Unknown,9
Szczepan Twardoch,feuilleton,1,Unknown,2
Sören Göpel-Schulze,schweiz,1,Unknown,1
Sören Urbansky,feuilleton,1,Unknown,3
Ta Mwe,international,1,Unknown,5
Tanja Breukelchen,reisen,1,Unknown,9
Teresa Vena,feuilleton,1,Unknown,0
Teseo La Marca,international,1,Unknown,2
Tessa Szyszkowitz,international,3,Unknown,2
Theo Parker,wissenschaft,1,Unknown,11
Theres Lüthi,wissenschaft,3,Unknown,11
Theresa Tröndle,folio,1,Unknown,9
Theresia Enzensberger,folio,1,Unknown,9
This Wachter,Unspecified,1,Unknown,12
Thomas Borer,meinung,1,Unknown,3
Thomas Bürgisser,wissenschaft,1,Unknown,9
Thomas Christen,meinung,1,Unknown,7
Thomas Cottier,meinung,2,Unknown,1
Thomas Fuster,wirtschaft,60,Wirtschaft,3
Thomas Geiger,mobilitaet,7,Unknown,5
Thomas Isler,nzz-am-sonntag,4,Schweiz und Debatte,9
Thomas J. Grichting,meinung,1,Unknown,7
Thomas Kestler,meinung,1,Unknown,1
Thomas Maissen,schweiz,1,Unknown,3
Thomas Milz,international,35,Unknown,10
Thomas Müller,nzz-am-sonntag,3,Unknown,3
Thomas Ribi,feuilleton,43,Feuilleton,9
Thomas Schacher,feuilleton,2,Unknown,0
Thomas Schlittler,wirtschaft,55,Wirtschaft,3
Thomas Schmid,feuilleton,3,Unknown,1
Thomas Scholl,sport,1,Unknown,6
Thomas Speckmann,feuilleton,9,Unknown,1
Thomas Wagner,feuilleton,1,Unknown,10
Thun Karin Hofer,schweiz,1,Unknown,7
Tiana Moser,meinung,1,Unknown,7
Till Hein,wissenschaft,3,Unknown,11
Timm Delfs,wirtschaft,3,Unknown,3
Timo Posselt,feuilleton,7,Unknown,0
Timothy Snyder,meinung,2,Unknown,3
Tin Fischer,wissenschaft,3,Unknown,11
Tina Hsu,international,1,Unknown,5
Tito Tettamanti,feuilleton,1,Unknown,2
Tobias Gafafer,schweiz,69,Schweiz,7
Tobias Hobi,meinung,1,Unknown,7
Tobias Jaag,meinung,1,Unknown,12
Tobias Käufer,sport,1,Unknown,10
Tobias Landwehr,sport,1,Unknown,6
Tobias Marti,zuerich,69,Zürich,12
Tobias Rötheli,meinung,1,Unknown,11
Tobias Sedlmaier,feuilleton,17,Unknown,0
Tobias Straumann,wirtschaft,3,Unknown,3
Tom Fairless,international,1,Unknown,3
Tom Felber,zuerich,87,Unknown,12
Tom Huber,folio,1,Unknown,9
Tom Mustroph,sport,19,Unknown,6
Tom Schulz,feuilleton,1,Unknown,2
Tom Sieber,meinung,1,Unknown,7
Tom Vaillant,wissenschaft,1,Unknown,5
Toni Hess,meinung,1,Unknown,7
Toni Stadler,meinung,2,Unknown,3
Torsten Kratz,feuilleton,1,Unknown,9
Tuğba Ayaz,nzz-am-sonntag-magazin,1,Unknown,0
Ueli Bernays,feuilleton,81,Feuilleton,0
Ueli Vogel-Etienne,meinung,1,Unknown,7
Ulf Meyer,feuilleton,9,Unknown,0
Ulrich K. Dhaka,international,1,Unknown,5
Ulrich M. Schmid,feuilleton,17,Unknown,2
Ulrich Meyer,meinung,2,Unknown,0
Ulrich Schlie,feuilleton,5,Unknown,2
Ulrich Schmid,feuilleton,3,Unknown,2
Ulrich Speck,pro,50,Unknown,3
Ulrich W. Hanke,finanzen,1,Unknown,3
Ulrich Zwygart,meinung,1,Unknown,7
Ulrich von Schwerin,international,56,Unknown,5
Ulrike Putz,international,1,Unknown,9
Ulrike Sauer,wirtschaft,14,Unknown,9
Uma Bista,international,1,Unknown,5
Urs Anton Löpfe,meinung,1,Unknown,3
Urs Arbter,meinung,1,Unknown,3
Urs Bühler,gesellschaft,35,Magazin / Bellevue / Z,9
Urs Egger,meinung,1,Unknown,12
Urs Furrer,meinung,1,Unknown,3
Urs Hafner,schweiz,3,Unknown,1
Urs Mühlebach,meinung,1,Unknown,13
Urs Müller,meinung,1,Unknown,3
Urs Niggli,meinung,1,Unknown,3
Urs Saxer,meinung,1,Unknown,7
Urs Tremp,nzz-am-sonntag,7,Unknown,4
Ursula Kastler,feuilleton,1,Unknown,0
Uta Appel Tallone,feuilleton,1,Unknown,0
Uta Neubauer,wissenschaft,3,Unknown,11
Ute Frevert,pro,2,Unknown,3
Ute Müller,international,17,Unknown,2
Utz Dräger,Unspecified,1,Unknown,1
Valentina Winkler,feuilleton,1,Video / Social Media,0
Valeria Rüttimann,Unspecified,1,Unknown,6
Vanessa Michaeli,sport,1,Unknown,9
Vanessa Schlesier,Unspecified,1,Unknown,2
Verena Kessler,feuilleton,1,Unknown,9
Verena Stössinger,feuilleton,2,Unknown,0
Victor Mauer,feuilleton,2,Unknown,1
Viktor Jerofejew,feuilleton,3,Unknown,2
Vince Ebert,meinung,1,Unknown,1
Viola Schenz,feuilleton,5,Unknown,0
Virginia Kirst,international,6,Unknown,9
Vittorio Magnago Lampugnani,feuilleton,1,Unknown,0
Viviane Bischoff,panorama,7,Nachrichten,6
Volker Pabst,international,103,Unknown,2
Volker Reinhardt,feuilleton,2,Unknown,0
Wahied Wahdat-Hagh,meinung,1,Unknown,1
Walter Rüegsegger,sport,22,Unknown,6
Wenger Malak Tantesh,international,1,Unknown,2
Werner Bellwald,feuilleton,1,Unknown,7
Werner Huber,feuilleton,3,Unknown,0
Werner J. Marti,international,22,International,10
Werner Marti,pro,1,International,3
Werner Vogt,feuilleton,2,Unknown,2
Wiis Vogelsang,meinung,1,Unknown,3
Wilfried Meichtry,feuilleton,1,Unknown,7
Win Schumacher,reisen,1,Unknown,9
Wladislaw L. Inosemzew,meinung,1,Unknown,2
Wolfgang Balzer,meinung,1,Unknown,3
Wolfgang Hellmich,feuilleton,1,Unknown,0
Wolfgang Rössler,international,6,Unknown,2
Wolfgang Stähr,feuilleton,2,Unknown,0
Yannick Hausmann,meinung,1,Unknown,3
Yasmin Müller,panorama,8,Nachrichten,2
Yonca Krahn,sport,3,Unknown,6
Yoppy Pieter,international,1,Unknown,5
Yu Jie,meinung,1,Unknown,3
Yuval Harari,report-und-debatte,1,Unknown,11
Yvan Lengwiler,meinung,1,Unknown,3
Zelda Biller,feuilleton,2,Unknown,1
Zeno Geisseler,zuerich,108,Zürich,12
Zoé Baches,wirtschaft,19,Unknown,3
Zsolt Balkanyi-Guery,meinung,1,Unknown,1
