Author,Resort,Count
Benedikt Koller,feuilleton,1
Benjamin Steffen,sport,1
Benjamin Triebe,wirtschaft,73
Benjamin Triebe,meinung,15
Benjamin Triebe,finanzen,7
Bernadette Conrad,feuilleton,1
Bernd Noack,feuilleton,19
Bernd Roeck,pro,1
Bernd Roeck,wissenschaft,1
Bernhard Lauterburg,schweiz,1
Bertram Job,sport,9
Bettina Rühl,international,11
Bettina Rühl,pro,2
Birgit Püve,international,1
Birgit Schmid,feuilleton,61
Birgit Schmid,meinung,2
Birrer Dominic Wirth,sport,1
Birte Mensing,international,5
Björn Hayer,feuilleton,2
Björn Heissenberger,meinung,1
Botakoz Kassymbekova,meinung,1
Brigitte Wenger,sport,9
Brigitte Wenger,panorama,1
Brigitte Wenger,international,1
Bruno Meier,schweiz,1
Bruno S. Frey,meinung,3
Béatrice Acklin Zimmermann,meinung,1
Bülent Mumay,meinung,1
Carl Baudenbacher,meinung,1
Carl Bossard,meinung,1
Carlo Mariani,panorama,17
Carlo Mariani,feuilleton,8
Carlo Mariani,international,2
Carlo Mariani,schweiz,2
Carlo Mariani,zuerich,1
Carlo Mariani,gesellschaft,1
Carlott Bru,wissenschaft,1
Carole Koch,nzz-am-sonntag-magazin,3
Carole Koch,international,3
Carole Koch,folio,1
Carole Koch,nzz-am-sonntag,1
Carolina Drüten,international,8
Caroline Dettling,Unspecified,1
Carolyn Kissane,meinung,1
Catalin Dorian Florescu,zuerich,1
Catherine Bosley,pro,8
Catherine Bosley,wirtschaft,4
Chaim Noll,feuilleton,4
Chaim Noll,meinung,3
Chanchal Biswas,wirtschaft,3
Chanchal Biswas,meinung,3
Chanchal Biswas,schweiz,1
Charles Ferguson,meinung,1
Charlotte Theile,nzz-am-sonntag-magazin,1
Chelsey Dulaney,international,1
Chiara Valerio,feuilleton,1
Chip Cutter,wirtschaft,1
Chrisa Wilkens,wissenschaft,1
Christian Bidermann,meinung,1
Christian Bretscher,meinung,1
Christian Chladny,report-und-debatte,1
Christian Gasser,feuilleton,5
Christian J. Meier,wissenschaft,2
Christian Koller,nzz-am-sonntag,1
Christian Marty,feuilleton,1
Christian Merz,feuilleton,1
Christian Merz,wirtschaft,1
Christian Osthold,meinung,2
Christian Putsch,international,4
Christian Putsch,panorama,2
Christian R. Ulbrich,meinung,1
Christian Schreiber,reisen,2
Christian Schwägerl,wissenschaft,1
Christian Speicher,wissenschaft,43
Christian Speicher,meinung,3
Christian Speicher,fotografie,1
Christian Speicher,Unspecified,1
Christian Weisflog,international,166
Christian Weisflog,english,1
Christian Weisflog,pro,1
Christian Weymayr,wissenschaft,2
Christian Wildhagen,feuilleton,49
Christian Wildhagen,meinung,1
Christian Wildhagen,der-andere-blick,1
Christian Wolf,wissenschaft,1
Christiane Albiez,feuilleton,1
Christiane Hanna Henkel,meinung,1
Christin Severin,wirtschaft,21
Christin Severin,meinung,3
Christina Neuhaus,schweiz,101
Christina Neuhaus,meinung,28
Christina Neuhaus,pro,4
Christina Neuhaus,wirtschaft,1
Christina Röcke,nzz-live-veranstaltungen,1
Christine Brinck,feuilleton,8
Christine Le Pape Racin,meinung,1
Christine Longin,international,11
Christine Steffen,sport,34
Christine Steffen,meinung,3
Christine Steffen,nzz-am-sonntag,2
Christine Steffen,feuilleton,1
Christof Krapf,sport,70
Christof Krapf,meinung,1
Christof Krapf,nzz-live-veranstaltungen,1
Christoph A. Schaltegger,meinung,1
Christoph Brumme,meinung,1
Christoph Egger,feuilleton,1
Christoph Eisenring,meinung,1
Christoph Forsthoff,feuilleton,3
Christoph Held,feuilleton,1
Christoph Lüthy,feuilleton,1
Christoph Schütz,nzz-am-sonntag,1
Christoph Zürcher,nzz-am-sonntag,2
Cian Jochem,wissenschaft,5
Cian Jochem,Unspecified,5
Cian Jochem,pro,4
Cian Jochem,international,2
Cian Jochem,wirtschaft,2
Cian Jochem,technologie,1
Clara Ott,wissenschaft,3
Clarita Kunz Matossi,meinung,1
Claude Meier,meinung,1
Claudia Franziska Brühwiler,meinung,2
Claudia Franziska Brühwiler,feuilleton,1
Claudia Füssler,wissenschaft,1
Claudia Füßler,wissenschaft,1
Claudia Mäder,feuilleton,3
Claudia Mäder,pro,1
Claudia Rey,zuerich,39
Claudia Rey,meinung,1
Claudia Schwartz,feuilleton,14
Claudia Schwartz,der-andere-blick,1
Claudia Schwartz,meinung,1
Claus Peter Simon,wissenschaft,4
Claus Schweitzer,reisen,4
Clemens Klünemann,feuilleton,5
Colm Tóibín,feuilleton,1
Como Pieter Slembrouck,sport,1
Conor Feehly,wissenschaft,1
Cord Aschenbrenner,feuilleton,1
Corina Gall,schweiz,5
Corina Gall,panorama,5
Corina Gall,feuilleton,2
Corina Gall,gesellschaft,2
Corina Gall,international,2
Corina Gredig,meinung,1
Corina Kolbe,feuilleton,4
Cyrus Schayegh,meinung,1
Dagmar Fenner,meinung,1
Dagmar Rösler,meinung,1
Dagmar Schediwy,wissenschaft,1
Damiano Canapa,meinung,1
Damita Pressl,pro,6
Damita Pressl,Unspecified,5
Dan Cermak,gesellschaft,1
Dana Mattioli,nzz-am-sonntag,1
Daniel Böhm,international,90
Daniel Böhm,sport,1
Daniel Böhm,nzz-live-veranstaltungen,1
Daniel Böhm,wirtschaft,1
Daniel Böhm,pro,1
Daniel Böhm,meinung,1
Daniel Di Falco,wissenschaft,1
Daniel Eckmann,meinung,2
Daniel Fasnacht,meinung,1
Daniel Foppa,nzz-am-sonntag,4
Daniel Foppa,schweiz,3
Daniel Foppa,feuilleton,1
Daniel Foppa,report-und-debatte,1
Daniel Friedli,schweiz,17
Daniel Friedli,report-und-debatte,4
Daniel Friedli,nzz-am-sonntag,2
Daniel Fritzsche,zuerich,43
Daniel Fritzsche,meinung,16
Daniel Germann,sport,111
Daniel Gerny,schweiz,87
Daniel Gerny,meinung,15
Daniel Gerny,international,1
Daniel Gerny,sport,1
Daniel Haas,feuilleton,19
Daniel Heller,meinung,1
Daniel Huber,mobilitaet,1
Daniel Imwinkelried,wirtschaft,52
Daniel Imwinkelried,meinung,19
Daniel Imwinkelried,international,13
Daniel Imwinkelried,schweiz,4
Daniel Imwinkelried,pro,3
Daniel Imwinkelried,panorama,1
Daniel Janett,meinung,1
Daniel Koch,feuilleton,2
Daniel Lorenz,meinung,1
Daniel Rickenbacher,international,6
Daniel Rickenbacher,feuilleton,5
Daniel Rickenbacher,meinung,4
Daniel Rickenbacher,schweiz,3
Daniel Rickenbacher,zuerich,1
Daniel Röttele,wissenschaft,3
